source,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,1,2,1,0.130952380952,0.134146341463,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.236559139785,0.0,0.0,0.0,0.0,0.0,11,16,16,8,11,22,11,0,0,0,0,0,16,0,0,0,0,0,15,0,0,1,0,0,8,0,0,0,0,0,10,0,0,1,0,0,22,0,0,0,0,0
0,1,2,5,0.154761904762,0.156626506024,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.270833333333,0.0,0.0,0.0,0.0,0.0,13,16,13,10,16,16,13,0,0,0,0,0,16,0,0,0,0,0,13,0,0,0,0,0,10,0,0,0,0,0,15,0,0,1,0,0,16,0,0,0,0,0
0,1,3,0,0.952380952381,0.909090909091,1.0,0.866666666667,1.0,0.916666666667,1.0,0.909090909091,0.9375,0.928571428571,1.0,1.0,0.944444444444,0.909090909091,0.967741935484,0.896551724138,1.0,0.95652173913,0.971428571429,11,16,14,14,11,18,10,0,1,0,0,0,0,15,0,0,1,0,1,0,13,0,0,0,0,0,0,14,0,0,0,0,0,0,11,0,0,0,1,0,0,17
0,1,3,6,0.488095238095,1.0,0.324324324324,0.0,0.0,1.0,0.4,0.909090909091,1.0,0.0,0.0,0.4375,0.857142857143,0.952380952381,0.489795918367,0.0,0.0,0.608695652174,0.545454545455,11,12,19,12,16,14,10,1,0,0,0,0,0,12,0,0,0,0,0,1,0,0,0,18,0,12,0,0,0,0,0,9,0,0,7,0,0,2,0,0,0,12
0,1,3,1,0.178571428571,0.111111111111,0.583333333333,0.0,0.0,0.0,0.0,1.0,0.4375,0.0,0.0,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,8,16,22,12,9,17,8,0,0,0,0,0,9,7,0,0,0,0,22,0,0,0,0,0,12,0,0,0,0,0,5,4,0,0,0,0,16,1,0,0,0,0
0,1,3,5,0.190476190476,0.0,0.0,0.0,0.0,0.190476190476,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,11,13,19,10,16,15,0,0,0,0,11,0,0,0,0,0,13,0,0,0,0,0,19,0,0,0,0,0,10,0,0,0,0,0,16,0,0,0,0,0,15,0
0,1,4,0,0.916666666667,0.888888888889,0.866666666667,0.954545454545,0.769230769231,1.0,1.0,0.888888888889,0.928571428571,0.913043478261,1.0,0.833333333333,0.9375,0.888888888889,0.896551724138,0.933333333333,0.869565217391,0.909090909091,0.967741935484,9,14,23,10,12,16,8,0,1,0,0,0,0,13,0,1,0,0,1,1,21,0,0,0,0,0,0,10,0,0,0,1,0,1,10,0,0,0,0,1,0,15
0,1,4,6,0.285714285714,0.2,0.75,0.25,0.0,0.0,0.0,1.0,0.818181818182,0.166666666667,0.0,0.0,0.0,0.333333333333,0.782608695652,0.2,0.0,0.0,0.0,12,11,18,14,8,21,12,0,0,0,0,0,2,9,0,0,0,0,15,0,3,0,0,0,13,1,0,0,0,0,6,1,1,0,0,0,12,1,8,0,0,0
0,1,4,1,0.107142857143,0.10843373494,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.195652173913,0.0,0.0,0.0,0.0,0.0,9,13,17,12,7,26,9,0,0,0,0,0,13,0,0,0,0,0,16,0,0,0,1,0,12,0,0,0,0,0,7,0,0,0,0,0,26,0,0,0,0,0
0,1,4,5,0.119047619048,0.0,0.0,0.0,0.0,0.119047619048,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.212765957447,0.0,13,14,22,5,10,20,0,0,0,0,13,0,0,0,0,0,14,0,0,0,0,0,22,0,0,0,0,0,5,0,0,0,0,0,10,0,0,0,0,0,20,0
0,1,5,0,0.940476190476,1.0,1.0,0.777777777778,0.909090909091,1.0,1.0,0.923076923077,1.0,1.0,1.0,1.0,0.777777777778,0.96,1.0,0.875,0.952380952381,1.0,0.875,13,14,14,10,15,18,12,0,1,0,0,0,0,14,0,0,0,0,0,0,14,0,0,0,0,0,0,10,0,0,0,0,0,0,15,0,0,0,3,1,0,14
0,1,5,6,0.488095238095,0.441176470588,0.666666666667,0.4375,0.0,0.0,0.0,1.0,0.857142857143,0.777777777778,0.0,0.0,0.0,0.612244897959,0.75,0.56,0.0,0.0,0.0,15,14,18,12,13,12,15,0,0,0,0,0,1,12,1,0,0,0,4,0,14,0,0,0,1,6,5,0,0,0,13,0,0,0,0,0,0,0,12,0,0,0
0,1,5,1,0.130952380952,0.132530120482,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.234042553191,0.0,0.0,0.0,0.0,0.0,11,11,16,15,10,21,11,0,0,0,0,0,11,0,0,0,0,0,16,0,0,0,0,0,15,0,0,0,0,0,9,0,0,1,0,0,21,0,0,0,0,0
0,1,5,5,0.178571428571,0.16049382716,0.0,0.0,0.0,0.666666666667,0.0,1.0,0.0,0.0,0.0,0.153846153846,0.0,0.276595744681,0.0,0.0,0.0,0.25,0.0,13,14,15,13,13,16,13,0,0,0,0,0,14,0,0,0,0,0,14,0,0,0,1,0,13,0,0,0,0,0,11,0,0,0,2,0,16,0,0,0,0,0
0,1,6,0,0.738095238095,1.0,0.3,1.0,1.0,1.0,0.941176470588,1.0,0.9,0.954545454545,0.222222222222,0.1875,1.0,1.0,0.45,0.976744186047,0.363636363636,0.315789473684,0.969696969697,11,10,22,9,16,16,11,0,0,0,0,0,0,9,0,0,0,1,0,1,21,0,0,0,0,7,0,2,0,0,0,13,0,0,3,0,0,0,0,0,0,16
0,1,6,6,0.452380952381,0.346153846154,0.916666666667,0.391304347826,0.0,0.0,0.0,1.0,0.846153846154,0.9,0.0,0.0,0.0,0.514285714286,0.88,0.545454545455,0.0,0.0,0.0,9,13,20,19,12,11,9,0,0,0,0,0,2,11,0,0,0,0,2,0,18,0,0,0,1,1,17,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0
0,1,6,1,0.154761904762,0.158536585366,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.273684210526,0.0,0.0,0.0,0.0,0.0,13,18,15,13,7,18,13,0,0,0,0,0,18,0,0,0,0,0,14,0,0,0,1,0,13,0,0,0,0,0,6,0,0,1,0,0,18,0,0,0,0,0
