device,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0,6,6,0.892857142857,0.8,1.0,0.823529411765,0.9375,0.9,0.928571428571,1.0,0.857142857143,0.777777777778,1.0,0.9,0.866666666667,0.888888888889,0.923076923077,0.8,0.967741935484,0.9,0.896551724138,12,14,18,15,10,15,12,0,0,0,0,0,0,12,1,0,1,0,3,0,14,0,0,1,0,0,0,15,0,0,0,0,0,1,9,0,0,0,2,0,0,13
0,6,1,0.857142857143,0.9,1.0,0.818181818182,0.842105263158,0.875,0.785714285714,1.0,0.846153846154,0.857142857143,0.888888888889,0.636363636364,0.916666666667,0.947368421053,0.916666666667,0.837209302326,0.864864864865,0.736842105263,0.846153846154,9,13,21,18,11,12,9,0,0,0,0,0,0,11,1,0,1,0,1,0,18,0,0,2,0,0,2,16,0,0,0,0,0,3,7,1,0,0,1,0,0,11
0,6,5,0.785714285714,0.818181818182,1.0,0.8125,0.714285714286,1.0,0.695652173913,1.0,0.727272727273,0.684210526316,1.0,0.5,0.8,0.9,0.842105263158,0.742857142857,0.833333333333,0.666666666667,0.744186046512,9,11,19,15,10,20,9,0,0,0,0,0,0,8,0,1,0,2,2,0,13,0,0,4,0,0,0,15,0,0,0,0,0,4,5,1,0,0,3,1,0,16
1,0,0,0.952380952381,0.9,1.0,1.0,0.947368421053,0.916666666667,0.941176470588,1.0,0.833333333333,0.888888888889,1.0,1.0,1.0,0.947368421053,0.909090909091,0.941176470588,0.972972972973,0.95652173913,0.969696969697,9,12,18,18,11,16,9,0,0,0,0,0,0,10,0,1,0,1,1,0,16,0,1,0,0,0,0,18,0,0,0,0,0,0,11,0,0,0,0,0,0,16
1,0,6,0.678571428571,0.6,1.0,0.576923076923,0.647058823529,0.625,0.727272727273,0.666666666667,0.923076923077,0.9375,0.785714285714,0.384615384615,0.421052631579,0.631578947368,0.96,0.714285714286,0.709677419355,0.47619047619,0.533333333333,9,13,16,14,13,19,6,0,0,0,0,3,0,12,1,0,0,0,1,0,15,0,0,0,0,0,0,11,3,0,2,0,0,6,5,0,1,0,10,0,0,8
1,0,1,0.77380952381,0.888888888889,1.0,0.789473684211,0.764705882353,0.571428571429,0.65,1.0,0.857142857143,0.681818181818,0.8125,0.571428571429,0.764705882353,0.941176470588,0.923076923077,0.731707317073,0.787878787879,0.571428571429,0.702702702703,8,14,22,16,7,17,8,0,0,0,0,0,0,12,0,1,0,1,1,0,15,0,0,6,0,0,0,13,3,0,0,0,0,3,4,0,0,0,4,0,0,13
1,0,5,0.595238095238,0.8,0.909090909091,0.4,0.857142857143,0.5,0.421052631579,1.0,1.0,0.533333333333,0.352941176471,0.428571428571,0.5,0.888888888889,0.952380952381,0.457142857143,0.5,0.461538461538,0.457142857143,12,10,15,17,14,16,12,0,0,0,0,0,0,10,0,0,0,0,0,0,8,1,3,3,0,1,5,6,2,3,2,0,1,0,6,5,1,0,6,0,1,8
1,1,0,0.988095238095,1.0,1.0,1.0,1.0,1.0,0.9375,1.0,1.0,0.9375,1.0,1.0,1.0,1.0,1.0,0.967741935484,1.0,1.0,0.967741935484,9,14,16,15,15,15,9,0,0,0,0,0,0,14,0,0,0,0,0,0,15,0,0,1,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,15
1,1,6,0.761904761905,0.857142857143,0.923076923077,0.461538461538,1.0,1.0,0.714285714286,1.0,1.0,0.8,1.0,0.615384615385,0.454545454545,0.923076923077,0.96,0.585365853659,1.0,0.761904761905,0.555555555556,6,12,15,16,13,22,6,0,0,0,0,0,0,12,0,0,0,0,0,0,12,0,0,3,0,0,0,16,0,0,1,0,3,0,8,1,0,1,11,0,0,10
1,1,1,0.678571428571,1.0,1.0,0.5,1.0,0.75,0.388888888889,0.733333333333,0.9,0.705882352941,0.4,1.0,0.466666666667,0.846153846154,0.947368421053,0.585365853659,0.571428571429,0.857142857143,0.424242424242,15,10,17,15,12,15,11,0,0,0,4,0,0,9,1,0,0,0,0,0,12,0,0,5,0,0,3,6,0,6,0,0,0,0,12,0,0,0,8,0,0,7
