device,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
1,2,0,0.675,0.692307692308,0.611111111111,0.48,0.6,1.0,1.0,0.692307692308,0.916666666667,0.631578947368,0.1875,1.0,0.916666666667,0.692307692308,0.733333333333,0.545454545455,0.285714285714,1.0,0.95652173913,13,12,19,16,8,12,9,2,2,0,0,0,0,11,1,0,0,0,1,4,12,2,0,0,3,0,10,3,0,0,0,0,0,0,8,0,0,1,0,0,0,11
1,2,1,0.6625,1.0,1.0,0.441860465116,0.0,0.75,1.0,0.0909090909091,0.625,1.0,0.0,1.0,1.0,0.166666666667,0.769230769231,0.612903225806,0.0,0.857142857143,1.0,11,16,19,11,9,14,1,0,10,0,0,0,0,10,3,0,3,0,0,0,19,0,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,14
1,2,2,0.675,0.4,0.55,0.461538461538,0.428571428571,1.0,1.0,0.444444444444,1.0,0.5,0.1875,0.909090909091,0.952380952381,0.421052631579,0.709677419355,0.48,0.260869565217,0.952380952381,0.975609756098,9,11,12,16,11,21,4,3,0,2,0,0,0,11,0,0,0,0,2,2,6,2,0,0,4,2,7,3,0,0,0,1,0,0,10,0,0,1,0,0,0,20
1,2,3,0.6625,0.526315789474,0.9,0.5,0.333333333333,0.777777777778,1.0,0.769230769231,0.642857142857,0.722222222222,0.0666666666667,1.0,1.0,0.625,0.75,0.590909090909,0.111111111111,0.875,1.0,13,14,18,15,7,13,10,0,3,0,0,0,1,9,1,1,2,0,4,0,13,1,0,0,4,1,9,1,0,0,0,0,0,0,7,0,0,0,0,0,0,13
2,0,0,0.925,0.928571428571,0.8125,1.0,0.923076923077,0.875,1.0,0.928571428571,0.866666666667,0.933333333333,0.923076923077,1.0,0.9375,0.928571428571,0.838709677419,0.965517241379,0.923076923077,0.933333333333,0.967741935484,14,15,15,13,7,16,13,1,0,0,0,0,0,13,0,1,1,0,1,0,14,0,0,0,0,1,0,12,0,0,0,0,0,0,7,0,0,1,0,0,0,15
2,0,1,0.8,0.777777777778,0.666666666667,1.0,0.555555555556,1.0,0.928571428571,0.636363636364,0.833333333333,0.772727272727,1.0,1.0,0.722222222222,0.7,0.740740740741,0.871794871795,0.714285714286,1.0,0.8125,11,12,22,10,7,18,7,0,0,4,0,0,0,10,0,2,0,0,2,0,17,2,0,1,0,0,0,10,0,0,0,0,0,0,7,0,0,5,0,0,0,13
2,0,2,0.9,1.0,0.789473684211,0.75,0.928571428571,1.0,1.0,0.923076923077,0.882352941176,0.9,0.8125,0.875,1.0,0.96,0.833333333333,0.818181818182,0.866666666667,0.933333333333,1.0,13,17,10,16,8,16,12,1,0,0,0,0,0,15,1,1,0,0,0,1,9,0,0,0,0,1,2,13,0,0,0,1,0,0,7,0,0,0,0,0,0,16
2,0,3,0.7875,0.6,0.571428571429,1.0,0.75,0.909090909091,1.0,0.9,0.705882352941,0.761904761905,0.5,1.0,0.8125,0.72,0.631578947368,0.864864864865,0.6,0.952380952381,0.896551724138,10,17,21,6,10,16,9,1,0,0,0,0,3,12,0,1,1,0,1,4,16,0,0,0,2,1,0,3,0,0,0,0,0,0,10,0,0,3,0,0,0,13
2,1,0,0.9,1.0,0.882352941176,0.866666666667,1.0,0.8,0.894736842105,1.0,0.9375,0.928571428571,1.0,0.888888888889,0.772727272727,1.0,0.909090909091,0.896551724138,1.0,0.842105263158,0.829268292683,8,16,14,11,9,22,8,0,0,0,0,0,0,15,0,0,0,1,0,1,13,0,0,0,0,0,0,11,0,0,0,0,0,0,8,1,0,1,2,0,2,17
2,1,1,0.7625,0.666666666667,0.6875,1.0,1.0,0.6,0.631578947368,0.769230769231,0.733333333333,0.933333333333,0.846153846154,0.375,0.75,0.714285714286,0.709677419355,0.965517241379,0.916666666667,0.461538461538,0.685714285714,13,15,15,13,8,16,10,0,0,0,2,1,3,11,0,0,0,1,0,1,14,0,0,0,0,0,0,11,0,2,2,0,0,0,3,3,0,4,0,0,0,12
