sources,target,feature,clf,accuracy,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
0_1_3,2,3,1,0.1375,1.0,0.25,0.5,0.0,0.0806451612903,0.0,0.375,0.142857142857,0.0666666666667,0.0,1.0,0.0,0.545454545455,0.181818181818,0.117647058824,0.0,0.149253731343,0.0,8,14,15,17,5,21,3,0,1,0,4,0,0,2,0,0,12,0,0,5,1,0,6,3,0,0,0,0,15,2,0,0,0,0,5,0,0,1,0,0,20,0
0_1_3,2,3,5,0.2,1.0,0.0,1.0,0.0,0.0882352941176,0.0,0.363636363636,0.0,0.428571428571,0.0,1.0,0.0,0.533333333333,0.0,0.6,0.0,0.162162162162,0.0,11,13,14,14,6,22,4,0,0,0,6,1,0,0,0,0,12,1,0,0,6,0,8,0,0,0,0,0,14,0,0,0,0,0,6,0,0,0,0,0,22,0
0_1_3,2,6,0,0.8625,1.0,0.576923076923,1.0,1.0,1.0,1.0,0.909090909091,1.0,1.0,0.307692307692,0.888888888889,1.0,0.952380952381,0.731707317073,1.0,0.470588235294,0.941176470588,1.0,11,15,11,13,9,21,10,1,0,0,0,0,0,15,0,0,0,0,0,0,11,0,0,0,0,9,0,4,0,0,0,1,0,0,8,0,0,0,0,0,0,21
0_1_3,2,6,6,0.4875,1.0,0.545454545455,0.909090909091,0.733333333333,0.0,0.0,0.5,0.631578947368,0.833333333333,0.916666666667,0.0,0.0,0.666666666667,0.585365853659,0.869565217391,0.814814814815,0.0,0.0,12,19,12,12,5,20,6,1,0,0,5,0,0,12,0,3,2,2,0,1,10,1,0,0,0,0,1,11,0,0,0,0,0,0,0,5,0,8,0,0,12,0
0_1_3,2,6,1,0.1125,0.0,0.363636363636,0.6,0.0,0.0327868852459,0.0,0.0,0.210526315789,0.272727272727,0.0,0.4,0.0,0.0,0.266666666667,0.375,0.0,0.0606060606061,0.0,13,19,11,12,5,20,0,1,0,0,12,0,0,4,1,0,13,1,0,3,3,0,4,1,0,1,1,0,10,0,0,2,0,0,2,1,0,0,0,0,20,0
0_1_3,2,6,5,0.2625,1.0,0.428571428571,1.0,0.0,0.193548387097,0.0,0.0909090909091,0.4,0.142857142857,0.0,0.923076923077,0.0,0.166666666667,0.413793103448,0.25,0.0,0.32,0.0,11,15,14,11,13,16,1,1,0,0,9,0,0,6,0,1,8,0,0,2,2,0,10,0,0,2,0,0,9,0,0,1,0,0,12,0,0,2,0,0,14,0
0_2_3,1,0,0,0.975,1.0,0.941176470588,1.0,0.933333333333,1.0,1.0,0.928571428571,1.0,1.0,1.0,0.888888888889,1.0,0.962962962963,0.969696969697,1.0,0.965517241379,0.941176470588,1.0,14,16,15,14,9,12,13,0,0,1,0,0,0,16,0,0,0,0,0,0,15,0,0,0,0,0,0,14,0,0,0,1,0,0,8,0,0,0,0,0,0,12
0_2_3,1,0,6,0.3,0.75,0.0,1.0,0.5,0.2,0.0833333333333,0.230769230769,0.0,0.0714285714286,1.0,0.625,0.142857142857,0.352941176471,0.0,0.133333333333,0.666666666667,0.30303030303,0.105263157895,13,18,14,13,8,14,3,0,0,1,8,1,1,0,0,1,0,16,0,0,1,11,0,2,0,0,0,13,0,0,0,0,0,0,5,3,0,0,0,0,12,2
0_2_3,1,0,1,0.2,0.277777777778,0.333333333333,0.0,0.0,0.155555555556,0.0,0.555555555556,0.2,0.0,0.0,1.0,0.0,0.37037037037,0.25,0.0,0.0,0.269230769231,0.0,9,20,15,12,7,17,5,1,0,0,3,0,0,4,0,0,15,1,7,2,0,0,3,3,6,4,0,0,1,1,0,0,0,0,7,0,0,1,0,0,16,0
0_2_3,1,0,5,0.25,0.666666666667,0.75,0.0,1.0,0.169230769231,0.25,0.363636363636,0.214285714286,0.0,0.1,0.916666666667,0.0588235294118,0.470588235294,0.333333333333,0.0,0.181818181818,0.285714285714,0.0952380952381,11,14,16,10,12,17,4,0,0,0,6,1,0,3,0,0,10,1,1,0,0,0,15,0,0,0,0,1,9,0,0,0,0,0,11,1,1,1,0,0,14,1
